Freq.	V(vout3)
2.88403150312659e+003	(-1.86933571679535e+000dB,1.48624009809397e+002°)
2.95120922666636e+003	(-2.06280726277377e+000dB,1.48091812221852e+002°)
3.01995172040199e+003	(-2.25812679394358e+000dB,1.47596864620674e+002°)
3.09029543251357e+003	(-2.45527553624443e+000dB,1.47139486782573e+002°)
3.16227766016836e+003	(-2.65423126235314e+000dB,1.46720079192175e+002°)
3.23593656929626e+003	(-2.85496754177527e+000dB,1.46339121684944e+002°)
3.31131121482589e+003	(-3.05745297859735e+000dB,1.45997172421235e+002°)
3.38844156139200e+003	(-3.26165041980878e+000dB,1.45694867162418e+002°)
3.46736850452529e+003	(-3.46751611721787e+000dB,1.45432918808266e+002°)
3.54813389233573e+003	(-3.67499882597526e+000dB,1.45212117142054e+002°)
3.63078054770099e+003	(-3.88403882275003e+000dB,1.45033328715436e+002°)
3.71535229097170e+003	(-4.09456682660472e+000dB,1.44897496788932e+002°)
3.80189396320558e+003	(-4.30650280576328e+000dB,1.44805641225193e+002°)
3.89045144994278e+003	(-4.51975465374308e+000dB,1.44758858210891e+002°)
3.98107170553494e+003	(-4.73421671892318e+000dB,1.44758319658499e+002°)
4.07380277804110e+003	(-4.94976817261102e+000dB,1.44805272111213e+002°)
4.16869383470332e+003	(-5.16627120225914e+000dB,1.44901034942426e+002°)
4.26579518801589e+003	(-5.38356901886138e+000dB,1.45046997605418e+002°)
4.36515832240162e+003	(-5.60148367097504e+000dB,1.45244615649321e+002°)
4.46683592150960e+003	(-5.81981366258695e+000dB,1.45495405174315e+002°)
4.57088189614871e+003	(-6.03833137849050e+000dB,1.45800935353371e+002°)
4.67735141287194e+003	(-6.25678032938611e+000dB,1.46162818600977e+002°)
4.78630092322634e+003	(-6.47487223998191e+000dB,1.46582697923677e+002°)
4.89778819368442e+003	(-6.69228401739728e+000dB,1.47062230946174e+002°)
5.01187233627268e+003	(-6.90865465457258e+000dB,1.47603070075096e+002°)
5.12861383991361e+003	(-7.12358214452911e+000dB,1.48206838246615e+002°)
5.24807460249768e+003	(-7.33662050633875e+000dB,1.48875099712219e+002°)
5.37031796370248e+003	(-7.54727705247486e+000dB,1.49609325359351e+002°)
5.49540873857620e+003	(-7.75501005927997e+000dB,1.50410852152333e+002°)
5.62341325190344e+003	(-7.95922703644173e+000dB,1.51280836427509e+002°)
5.75439937337152e+003	(-8.15928382571225e+000dB,1.52220200998937e+002°)
5.88843655355584e+003	(-8.35448479064682e+000dB,1.53229576339865e+002°)
6.02559586074353e+003	(-8.54408438387807e+000dB,1.54309236510126e+002°)
6.16595001861477e+003	(-8.72729039107929e+000dB,1.55459031002593e+002°)
6.30957344480188e+003	(-8.90326914513720e+000dB,1.56678314274682e+002°)
6.45654229034650e+003	(-9.07115297333439e+000dB,1.57965875389561e+002°)
6.60693448007590e+003	(-9.23005007795746e+000dB,1.59319870873103e+002°)
6.76082975391976e+003	(-9.37905695163196e+000dB,1.60737764532163e+002°)
6.91830970918931e+003	(-9.51727329062663e+000dB,1.62216278491582e+002°)
7.07945784384132e+003	(-9.64381919491996e+000dB,1.63751359990701e+002°)
7.24435960074984e+003	(-9.75785424168857e+000dB,1.65338168430118e+002°)
7.41310241300911e+003	(-9.85859780477538e+000dB,1.66971086684148e+002°)
7.58577575029177e+003	(-9.94534978919354e+000dB,1.68643759737914e+002°)
7.76247116628685e+003	(-1.00175107840072e+001dB,1.70349162270034e+002°)
7.94328234724275e+003	(-1.00746005374404e+001dB,1.72079694957710e+002°)
8.12830516164092e+003	(-1.01162736491170e+001dB,1.73827307183462e+002°)
8.31763771102664e+003	(-1.01423314708931e+001dB,1.75583641694002e+002°)
8.51138038202369e+003	(-1.01527294105711e+001dB,1.77340194860904e+002°)
8.70963589956073e+003	(-1.01475791265044e+001dB,1.79088484775873e+002°)
8.91250938133738e+003	(-1.01271454549634e+001dB,-1.79179781318405e+002°)
9.12010839355902e+003	(-1.00918382850048e+001dB,-1.77472548698608e+002°)
9.33254300796983e+003	(-1.00421999427264e+001dB,-1.75797273522982e+002°)
9.54992586021428e+003	(-9.97888892822029e+000dB,-1.74160803969885e+002°)
9.77237220955802e+003	(-9.90266103569866e+000dB,-1.72569288284380e+002°)
9.99999999999991e+003	(-9.81434896721223e+000dB,-1.71028111724115e+002°)
1.02329299228075e+004	(-9.71484152632721e+000dB,-1.69541862324308e+002°)
1.04712854805089e+004	(-9.60506336675594e+000dB,-1.68114323611456e+002°)
1.07151930523760e+004	(-9.48595609760526e+000dB,-1.66748491028556e+002°)
1.09647819614318e+004	(-9.35846134011275e+000dB,-1.65446607953145e+002°)
1.12201845430195e+004	(-9.22350611721637e+000dB,-1.64210216784188e+002°)
1.14815362149687e+004	(-9.08199075859303e+000dB,-1.63040220581128e+002°)
1.17489755493952e+004	(-8.93477933456942e+000dB,-1.61936951063441e+002°)
1.20226443461740e+004	(-8.78269250022646e+000dB,-1.60900239316410e+002°)
1.23026877081237e+004	(-8.62650253778337e+000dB,-1.59929486199409e+002°)
1.25892541179416e+004	(-8.46693032823515e+000dB,-1.59023730134177e+002°)
1.28824955169312e+004	(-8.30464395679380e+000dB,-1.58181710600865e+002°)
1.31825673855640e+004	(-8.14025865428788e+000dB,-1.57401926249234e+002°)
1.34896288259164e+004	(-7.97433779156031e+000dB,-1.56682687020024e+002°)
1.38038426460287e+004	(-7.80739466997076e+000dB,-1.56022160060570e+002°)
1.41253754462274e+004	(-7.63989488329549e+000dB,-1.55418409512972e+002°)
1.44543977074591e+004	(-7.47225906074863e+000dB,-1.54869430462498e+002°)
1.47910838816819e+004	(-7.30486583473184e+000dB,-1.54373177471520e+002°)
1.51356124843619e+004	(-7.13805490846366e+000dB,-1.53927588204186e+002°)
1.54881661891247e+004	(-6.97213012678935e+000dB,-1.53530602682535e+002°)
1.58489319246110e+004	(-6.80736247778285e+000dB,-1.53180178717741e+002°)
1.62181009735891e+004	(-6.64399297314601e+000dB,-1.52874304040393e+002°)
1.65958690743755e+004	(-6.48223537210756e+000dB,-1.52611005619415e+002°)
1.69824365246173e+004	(-6.32227872687025e+000dB,-1.52388356616337e+002°)
1.73780082874936e+004	(-6.16428973807637e+000dB,-1.52204481374760e+002°)
1.77827941003891e+004	(-6.00841491669975e+000dB,-1.52057558797397e+002°)
1.81970085860997e+004	(-5.85478255465804e+000dB,-1.51945824416955e+002°)
1.86208713666285e+004	(-5.70350451065221e+000dB,-1.51867571424037e+002°)
1.90546071796323e+004	(-5.55467782062016e+000dB,-1.51821150875704e+002°)
1.94984459975803e+004	(-5.40838614403857e+000dB,-1.51804971272919e+002°)
