Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
1.25892541179416e+003	(-9.13113564508198e+000dB,6.97580278093825e+001°)
1.28824955169313e+003	(-8.87963862419066e+000dB,7.10367120184299e+001°)
1.31825673855640e+003	(-8.62015635710031e+000dB,7.22679472907505e+001°)
1.34896288259165e+003	(-8.35321977112944e+000dB,7.34492825221081e+001°)
1.38038426460288e+003	(-8.07937531338347e+000dB,7.45786450315478e+001°)
1.41253754462275e+003	(-7.79917756185108e+000dB,7.56543340865501e+001°)
1.44543977074592e+003	(-7.51318244623385e+000dB,7.66750079861057e+001°)
1.47910838816820e+003	(-7.22194118931159e+000dB,7.76396658896729e+001°)
1.51356124843620e+003	(-6.92599503480932e+000dB,7.85476255987111e+001°)
1.54881661891247e+003	(-6.62587078756855e+000dB,7.93984984522345e+001°)
1.58489319246110e+003	(-6.32207715791334e+000dB,8.01921624043082e+001°)
1.62181009735892e+003	(-6.01510187519066e+000dB,8.09287342254715e+001°)
1.65958690743755e+003	(-5.70540951560989e+000dB,8.16085416262324e+001°)
1.69824365246173e+003	(-5.39343997625217e+000dB,8.22320959513015e+001°)
1.73780082874936e+003	(-5.07960751966486e+000dB,8.28000659477074e+001°)
1.77827941003891e+003	(-4.76430031081995e+000dB,8.33132529752266e+001°)
1.81970085860997e+003	(-4.44788036936303e+000dB,8.37725679080098e+001°)
1.86208713666286e+003	(-4.13068386401910e+000dB,8.41790098741616e+001°)
1.90546071796323e+003	(-3.81302168186084e+000dB,8.45336468958878e+001°)
1.94984459975803e+003	(-3.49518021212936e+000dB,8.48375984260635e+001°)
1.99526231496887e+003	(-3.17742229181716e+000dB,8.50920197262448e+001°)
2.04173794466952e+003	(-2.85998826781225e+000dB,8.52980879943671e+001°)
2.08929613085403e+003	(-2.54309713772276e+000dB,8.54569901255490e+001°)
2.13796208950222e+003	(-2.22694773832648e+000dB,8.55699119744408e+001°)
2.18776162394954e+003	(-1.91171995678156e+000dB,8.56380289804571e+001°)
2.23872113856832e+003	(-1.59757594522480e+000dB,8.56624980162111e+001°)
2.29086765276776e+003	(-1.28466132415770e+000dB,8.56444503229938e+001°)
2.34422881531991e+003	(-9.73106364097528e-001dB,8.55849854039027e+001°)
2.39883291901947e+003	(-6.63027138396295e-001dB,8.54851657541662e+001°)
2.45470891568501e+003	(-3.54526642964759e-001dB,8.53460123184910e+001°)
2.51188643150956e+003	(-4.76958809467178e-002dB,8.51685005762200e+001°)
2.57039578276885e+003	(2.57385087760122e-001dB,8.49535571662598e+001°)
2.63026799189536e+003	(5.60646130779438e-001dB,8.47020569747581e+001°)
2.69153480392690e+003	(8.62026058839563e-001dB,8.44148206191564e+001°)
2.75422870333815e+003	(1.16147166931688e+000dB,8.40926122723694e+001°)
2.81838293126443e+003	(1.45893681375456e+000dB,8.37361377803714e+001°)
2.88403150312659e+003	(1.75438148491448e+000dB,8.33460430353929e+001°)
2.95120922666636e+003	(2.04777091860529e+000dB,8.29229125752620e+001°)
3.01995172040199e+003	(2.33907470532721e+000dB,8.24672683872329e+001°)
3.09029543251357e+003	(2.62826590666120e+000dB,8.19795689019942e+001°)
3.16227766016836e+003	(2.91532017128792e+000dB,8.14602081705484e+001°)
3.23593656929626e+003	(3.20021484553820e+000dB,8.09095152233963e+001°)
3.31131121482589e+003	(3.48292807344497e+000dB,8.03277536180670e+001°)
3.38844156139200e+003	(3.76343788138482e+000dB,7.97151211876108e+001°)
3.46736850452529e+003	(4.04172124256904e+000dB,7.90717500093348e+001°)
3.54813389233573e+003	(4.31775311687811e+000dB,7.83977066199180e+001°)
3.63078054770099e+003	(4.59150546184433e+000dB,7.76929925101860e+001°)
3.71535229097170e+003	(4.86294621099437e+000dB,7.69575449403423e+001°)
3.80189396320558e+003	(5.13203821629249e+000dB,7.61912381244069e+001°)
3.89045144994278e+003	(5.39873815210816e+000dB,7.53938848410340e+001°)
3.98107170553494e+003	(5.66299537900583e+000dB,7.45652385367692e+001°)
4.07380277804110e+003	(5.92475076676515e+000dB,7.37049959971117e+001°)
4.16869383470332e+003	(6.18393547743543e+000dB,7.28128006703479e+001°)
4.26579518801589e+003	(6.44046971096561e+000dB,7.18882467388336e+001°)
4.36515832240162e+003	(6.69426141808902e+000dB,7.09308840419134e+001°)
4.46683592150960e+003	(6.94520498774246e+000dB,6.99402239635779e+001°)
4.57088189614871e+003	(7.19317991942237e+000dB,6.89157464056908e+001°)
4.67735141287194e+003	(7.43804949458128e+000dB,6.78569079734457e+001°)
4.78630092322634e+003	(7.67965946548813e+000dB,6.67631515027079e+001°)
4.89778819368442e+003	(7.91783678493848e+000dB,6.56339170579061e+001°)
5.01187233627268e+003	(8.15238840579592e+000dB,6.44686545228251e+001°)
5.12861383991361e+003	(8.38310018552097e+000dB,6.32668378934094e+001°)
5.24807460249768e+003	(8.60973593748327e+000dB,6.20279813597824e+001°)
5.37031796370248e+003	(8.83203667776923e+000dB,6.07516572322260e+001°)
5.49540873857620e+003	(9.04972012309963e+000dB,5.94375157209548e+001°)
5.62341325190344e+003	(9.26248050196512e+000dB,5.80853065204125e+001°)
5.75439937337152e+003	(9.46998874664507e+000dB,5.66949020741352e+001°)
5.88843655355584e+003	(9.67189313774119e+000dB,5.52663223052282e+001°)
6.02559586074353e+003	(9.86782047445337e+000dB,5.37997604904855e+001°)
6.16595001861477e+003	(1.00573778421704e+001dB,5.22956098347979e+001°)
6.30957344480188e+003	(1.02401550431134e+001dB,5.07544901702394e+001°)
6.45654229034650e+003	(1.04157277448523e+001dB,4.91772740667266e+001°)
6.60693448007590e+003	(1.05836613847393e+001dB,4.75651115064499e+001°)
6.76082975391976e+003	(1.07435158451693e+001dB,4.59194521528687e+001°)
6.91830970918931e+003	(1.08948508849960e+001dB,4.42420641495547e+001°)
7.07945784384132e+003	(1.10372322768960e+001dB,4.25350483286428e+001°)
7.24435960074984e+003	(1.11702385601901e+001dB,4.08008467074669e+001°)
7.41310241300911e+003	(1.12934682755912e+001dB,3.90422442181864e+001°)
7.58577575029177e+003	(1.14065475053341e+001dB,3.72623627586092e+001°)
7.76247116628685e+003	(1.15091375026072e+001dB,3.54646468774022e+001°)
7.94328234724275e+003	(1.16009421619822e+001dB,3.36528407105676e+001°)
8.12830516164092e+003	(1.16817150615201e+001dB,3.18309561569713e+001°)
8.31763771102664e+003	(1.17512658007979e+001dB,3.00032326983879e+001°)
8.51138038202369e+003	(1.18094653697049e+001dB,2.81740897055355e+001°)
8.70963589956073e+003	(1.18562503114624e+001dB,2.63480724917503e+001°)
8.91250938133738e+003	(1.18916254891743e+001dB,2.45297937440406e+001°)
9.12010839355902e+003	(1.19156653256681e+001dB,2.27238722432379e+001°)
9.33254300796983e+003	(1.19285134571610e+001dB,2.09348709535130e+001°)
9.54992586021428e+003	(1.19303808168272e+001dB,1.91672365998577e+001°)
9.77237220955802e+003	(1.19215422385573e+001dB,1.74252427563998e+001°)
9.99999999999991e+003	(1.19023317381169e+001dB,1.57129382482638e+001°)
1.02329299228075e+004	(1.18731366834800e+001dB,1.40341023468661e+001°)
1.04712854805089e+004	(1.18343911047070e+001dB,1.23922078437874e+001°)
1.07151930523760e+004	(1.17865684145332e+001dB,1.07903926572515e+001°)
1.09647819614318e+004	(1.17301738138513e+001dB,9.23144019360696e+000°)
1.12201845430195e+004	(1.16657366431600e+001dB,7.71776828610788e+000°)
1.14815362149687e+004	(1.15938029147430e+001dB,6.25142618989302e+000°)
1.17489755493952e+004	(1.15149282244862e+001dB,4.83409884197523e+000°)
1.20226443461740e+004	(1.14296712007751e+001dB,3.46711740589762e+000°)
1.23026877081237e+004	(1.13385876045338e+001dB,2.15147501201168e+000°)
