Freq.	V(vout3)+V(vout2)+V(vout1)
5.88843655355584e+003	(5.88629368751123e+000dB,1.70614914394054e+002°)
6.02559586074353e+003	(5.86612886034341e+000dB,1.70977443572655e+002°)
6.16595001861477e+003	(5.84743189017742e+000dB,1.71337924412155e+002°)
6.30957344480188e+003	(5.83017936221829e+000dB,1.71696242792655e+002°)
6.45654229034650e+003	(5.81434879278624e+000dB,1.72052286777328e+002°)
6.60693448007590e+003	(5.79991856702164e+000dB,1.72405946160281e+002°)
6.76082975391976e+003	(5.78686787697656e+000dB,1.72757112043095e+002°)
6.91830970918931e+003	(5.77517665984918e+000dB,1.73105676437947e+002°)
7.07945784384132e+003	(5.76482553611151e+000dB,1.73451531895834e+002°)
7.24435960074984e+003	(5.75579574728481e+000dB,1.73794571158880e+002°)
7.41310241300911e+003	(5.74806909313079e+000dB,1.74134686836242e+002°)
7.58577575029177e+003	(5.74162786804706e+000dB,1.74471771103541e+002°)
7.76247116628685e+003	(5.73645479648554e+000dB,1.74805715426184e+002°)
7.94328234724275e+003	(5.73253296724535e+000dB,1.75136410307278e+002°)
8.12830516164092e+003	(5.72984576653522e+000dB,1.75463745061159e+002°)
8.31763771102664e+003	(5.72837680974362e+000dB,1.75787607613841e+002°)
8.51138038202369e+003	(5.72810987190580e+000dB,1.76107884331881e+002°)
8.70963589956073e+003	(5.72902881690875e+000dB,1.76424459881345e+002°)
8.91250938133738e+003	(5.73111752553175e+000dB,1.76737217118662e+002°)
9.12010839355902e+003	(5.73435982247527e+000dB,1.77046037015220e+002°)
9.33254300796983e+003	(5.73873940259080e+000dB,1.77350798617566e+002°)
9.54992586021428e+003	(5.74423975658061e+000dB,1.77651379045025e+002°)
9.77237220955802e+003	(5.75084409649514e+000dB,1.77947653526454e+002°)
9.99999999999991e+003	(5.75853528141046e+000dB,1.78239495477703e+002°)
1.02329299228075e+004	(5.76729574372233e+000dB,1.78526776621142e+002°)
1.04712854805089e+004	(5.77710741654302e+000dB,1.78809367148366e+002°)
1.07151930523760e+004	(5.78795166273361e+000dB,1.79087135926867e+002°)
1.09647819614318e+004	(5.79980920614445e+000dB,1.79359950751140e+002°)
1.12201845430195e+004	(5.81266006567190e+000dB,1.79627678638270e+002°)
1.14815362149687e+004	(5.82648349276690e+000dB,1.79890186167618e+002°)
1.17489755493952e+004	(5.84125791305098e+000dB,-1.79852660136251e+002°)
1.20226443461740e+004	(5.85696087270638e+000dB,-1.79600993378737e+002°)
1.23026877081237e+004	(5.87356899030926e+000dB,-1.79354945830363e+002°)
1.25892541179416e+004	(5.89105791476615e+000dB,-1.79114648424330e+002°)
1.28824955169312e+004	(5.90940228999552e+000dB,-1.78880230219437e+002°)
1.31825673855640e+004	(5.92857572696604e+000dB,-1.78651817831864e+002°)
1.34896288259164e+004	(5.94855078366246e+000dB,-1.78429534839875e+002°)
